Company Name,Company Name2,Status,License,Type,License Number,Email,Phone,DBA,Adress
Facility Supplies & Machinery,Glassware,Pending,,,,,,,
Out of Network: 3670,In Network: 0,Pending,,,,,,,
Page 1 of 37,TaShonna's Signed & Sealed Notary LLC,Pending,,,,,,,
"Cannabis Retailer (Delivery), Manufacturing Goods, Cannabis Manufacturer, Glassware, Hemp Retailer (Storefront), Hemp Retailer (Online), Sales Management Services, Cannabis Retailer (Storefront)",smokes,Verified,,,,,,,
Pending,"Cannabis Retailer (Delivery), Hemp Distributor, Hemp Cultivator, Hemp Retailer (Storefront), Hemp Retailer (Online), Hemp Retailer (Delivery), Hemp Manufacturer",Pending,,,,,,,
Verified,Microbusiness,Pending,,,,,,,
Lush,Coastal Lushindica,Pending,,,,,,,
Weed Friends,WeedFriends,Pending,,,,,,,
Jet LaGg Planez,South Coast Farmacy Group,Pending,,,,,,,
"Cannabis Retailer (Delivery), Cannabis Brand, Hemp Retailer (Online), Hemp Retailer (Delivery), Hemp Brand, Hemp Distributor",Off the charts,Ancillary,,,,,,,
"Cannabis Retailer (Delivery), Hemp Retailer (Online), Cannabis Retailer (Storefront), Cannabis Retailer (Online), Seed Banks / Genetics, Cannabis Manufacturer, Cannabis Distributor, Cannabis Cultivator, Cannabis Brand, Cultivation Goods",The Drop Skuad,Pending,,,,,,,
"STASHLOGIX, Inc.",Ancillary,Hemp,,,,,,,
Serene Labs,ARARAT TESTING,Pending,,,,1stchoicesac@gmail.com,916-833-7661,,"Sacramento, CA"
Testing Lab,"Social Networks, Hemp Distributor, Hemp Cultivator, Banking / Payment Processing, Broker Dealers, Cannabis Retailer (Delivery), Cannabis Retailer (Storefront), Hemp Retailer (Storefront), Cannabis Manufacturer, Cannabis Cultivator",Pending,,,,,,,
"Social Networks, Hemp Brand, Hemp Distributor, Cultivation Goods, Packaging and Labels",akaChronic,Pending,,,,shultzaless@gmail.com,,,"1623 Old Blackhorse PkGloucester Township, NJ 08012"
HIGH COMMUNITY,Pending,Pending,,,,,,,
102-689927,The Convo,Ancillary,,,,,,,
